,Properties,frequency
2588,Mean r-value,1
2587,Drawability,1
4141,Young s Moduli,1
4144,Isobaric Heat Capacity,1
4145,Deformation uniformity,1
4147,Kinetic Anomaly,1
2580,Mass Transfer Coefficient,1
4151,Diffusion Creep,1
2579,Desulfurization Ratio,1
4153,Frenkel Pairs,1
4154,Microstructure evolution,1
4155,Surface deformation,1
4156,Damage features,1
4157,Fractographies,1
4160,Open-circuit potential,1
4166,Schmid Factors,1
4167,Vacancy Diffusion Activation Energy,1
4168,High Energy GB Structure,1
2572,Latent Heats,1
4173,Subgrain Structures,1
4174,Nucleation Mechanism,1
4175,Thermal Aging,1
4176,TM Resistance,1
4179,Al Depletion,1
4180,  to   Transformation,1
4460,Hot Deformation Behavior,1
4465,Cavity Distribution,1
4466,Average Phase Diameter,1
4776,Fractures,1
2223,Reaction,1
2220,Interfacial Reaction,1
4760,HPHNBs,1
4763,Fatigue ratio,1
4766,Cell Attachment,1
4768,Zero-current potential,1
4769,Cyclic Deformation Resistance,1
4771,APB Formation Energy,1
4772,Heterostructures,1
2214,Hydrogenation capacity,1
4774,Channel Width,1
2211,Weight Change,1
4777,Spin Switching,1
4808,Twin Boundary Cracking,1
4778,Spin Reorientation,1
4779,Surface observation,1
2210,Thermal Cycling Oxidation,1
4785,Adiabatic Shear Band Width,1
4791,Micro Voids,1
4792,Grain Collapse,1
4794,Single-phase fcc Crystal Structure,1
2200,Heterostructure,1
4800,Antifouling Properties,1
4801,Hydrophilic Nature,1
2195,Chemical compatibility,1
4806,Fatigue Cracking,1
4754,Stabilizes,1
4753,Stable SEI Film,1
4752,Crystal structure stability,1
4747,Charge Compensation,1
2251,Ablation Performance,1
4703,Stacking Fault Tetrahedrons,1
2250,Galvanic Corrosion Tendency,1
4707,H_C2,1
4708,H_Irr,1
4709,J_C,1
2249,Pitting Activities,1
4714,Single Domain Structure,1
4715,Time Exponent,1
4716,Wear Ability,1
4719,Substructures Evolution,1
2245,Thermal Sensitivity,1
4721,Magnetic Cooling Capacity,1
2241,Anti-oxidation Properties,1
4724,Optical Reflectivity,1
2240,Anti-oxidation properties,1
2238,Hydride Formation,1
2237,Elongation at Rupture,1
2235,Electrocatalytic Kinetics,1
2233,Strain partitioning,1
4740,Multiphasic structure,1
4741,Theoretical capacity,1
2224,Failure Plasticity,1
4745,Pulverization,1
4746,Storage,1
4807,Slip Band Cracking,1
4810,Antibacterial Property,1
4699,Thermal emissivity,1
4881,Hot working formability,1
4863,Heat Capacitance,1
4864,Thicknesses,1
2133,Soft magnetic property,1
2130,Chemical Interactions,1
4868,Glassy Ribbons,1
4869,HE-MGs,1
4870,Glass Formation,1
2128,Hydrogen Dissociation,1
2125,Slow diffusion effect,1
4874,Mechanical Flexibility,1
4878,Vicker s Hardness Strength,1
4879,Atomic Strain,1
4882,Recrystallization mechanism,1
4812,Sluggish Evolution,1
4883,Cryogenic Tensile Properties,1
4885,Element analysis,1
4886,Grain structures,1
4891,Surface Work Function,1
4892,Disorder Scattering,1
4893,Phonon Mean Free Path,1
2114,Enthalpy of Adsorption,1
2110,Cohesion Energy,1
2109,Chemical Short-Range Ordered Structure,1
4906,Thermal Radiation Shielding,1
4907,Critical diameter,1
4908,Vibrational Modes,1
4861,Metal Oxides,1
4860,Transition Metal Nitride,1
4858,Layer Thicknesses,1
2136,HDI Hardening Rate,1
4813,Restricted Interstitial Diffusion,1
4814,Higher Stacking Fault Energy,1
4816,Calorimetry,1
2189,Amorphous Content,1
2186,Equiaxed dendritic structure,1
4821,Duplex phase,1
4823,Spin-glass behavior,1
4824,Paramagnetic behavior,1
4825,Antiferromagnetic interactions,1
4826,Effective moment,1
2177,Clad Angle,1
4829,Intergranular Crack Growth,1
2175,HCP phase,1
4832,He bubble size,1
4833,He bubble density,1
4834,Dislocation loop size,1
4835,Dislocation loop density,1
4836,Crystallization Phase,1
4837,Deactivation pH,1
4839,eCE,1
4840,Hydrogen Traps,1
2167,Hardness value,1
2166,Vickers micro-indentation,1
2163,Passive Film Protection,1
2150,Solid Solution Structure,1
4701,Passivation kinetics,1
4698,Solar absorptivity,1
4470,Core-Shell Architecture,1
4559,Microporous Structure,1
2374,Intrinsic Conductivity,1
4543,Deformation Textures,1
4544,Twinning Behavior,1
4546,Twinning Capacity,1
4547,Densification Kinetics,1
4548,Densification kinetics,1
4549,Structural damage,1
4550,Bubble swelling,1
4551,Frustration,1
4552,Fatigue-crack Propagation,1
4553,Fatigue-Crack Propagation,1
2373,Element Tunability,1
4560,Charge Potential,1
2345,FCC structured matrix,1
4561,Sluggish Kinetics,1
2369,Driving force,1
4564,Magnetic Shape Memory Effect,1
4565,Magnetic Field-Induced Strain,1
4567,Hardness to Elastic Modulus Ratio,1
4568,Yield Pressure,1
4573,Irradiation Induced Creep,1
4574,Thermal Creep Rate,1
2362,Phase Partition,1
4576,Corrosive Wear Performance,1
2353,High Phase Stability,1
2350,High-temperature Applications,1
2375,Electron/Ion Migration,1
2376,Pseudocapacitive Contribution,1
2387,Barrier Property,1
2388,Low Diffusion Coefficient,1
4471,Primary Phase,1
4476,Anisotropic Properties,1
4478,Structural Entropy,1
2417,Resistance Against Slip,1
2416,Hall-Petch Equation,1
4481,Metal-insulator Transition,1
4482,Adsorption energy,1
4483,Dissociation energy,1
2411,Hydrogen Desorption Platform,1
4491,Diffusion Thickness,1
4492,Indentation Shear Strength,1
2410,Hydrogen Absorption Platform,1
4500,Yield Drop,1
2403,High Plateau Pressure,1
4503,Interface Barrier Strength,1
2400,Abrasive Resistance,1
2398,Cumulative Shear Strain,1
4508,Coarse Grains,1
4509,FIB Damage,1
4512,High Area Fraction of Twins,1
4513,Fine Precipitates,1
4518,Ductilization,1
2389,Stable Structure,1
4521,Hydrogen evolution performance,1
4525,Paramagnetic state,1
2346,"(Cr,V) carbide precipitation",1
2344,High content of  -phase,1
4697,Output power density,1
2266,Refrigeration Temperature Region,1
4642,Mo-rich Phase,1
2298,Cumulative volume removal rate,1
4644,Al-rich Phase,1
4646,Wear morphologies,1
4647,Electrochemical corrosion,1
2297,Cumulative volume loss,1
2295,Superionic Conductivity,1
2294,Mass-loss rate,1
2293,Grinding Force,1
2291,Sintering kinetics,1
4663,OER Characteristics,1
2267,Lattice Anisotropy,1
4673,Interfaces,1
4591,Bendability,1
2264,Magnetocaloric Parameters,1
4678,Kinetic Performance,1
4679,Water-Splitting Stability,1
2263,Intrinsic Loss Power,1
2262,Hyperthermia,1
4683,Silicides,1
2256,  Relaxation,1
2253,Bending Strengths,1
4693,Output Power,1
4694,Electrical Degradation,1
4695,Output power,1
4696,Electrical degradation,1
2299,Mean depth erosion rate,1
2300,Incubation period,1
4639,He Bubble Formation Resistance,1
4634,Working Hardening,1
2336,Short-Range Ordering,1
2335,Micro-forming Quality,1
2333,Cyclical Magnetic-Field-Induced Deformation,1
2332,Reversible Entropy Change,1
2331,Ferromagnetic Shape Memory Effect,1
2330,Moderate Thermal Hysteresis,1
4601,Faradic redox active sites,1
4602,Porous structures,1
4603,Ionic transport pathways,1
2325,High Rate Discharge-ability,1
2324,Hot Cracks,1
2323,Soft Magnetization,1
4613,Thixotropic,1
2310,Tensile Responses,1
2307,Thermodynamic Calculations,1
2305,Liquid Phase Separation,1
4619,Miscibility gap,1
4620,Compressive Plastic Properties,1
2304,Microtwins,1
2303,Carbon concentration,1
4625,Combustion Calorific Capacity,1
2302,Damage peak,1
4628,Dislocation-Glide,1
4631,Shock Compression Strength,1
4633,Toughening Mechanism,1
4036,High Spin Polarization,1
2642,Twin-Induced Plasticity,1
4034,Magnetic Parameter,1
3480,Reaction resistance,1
3451,Bcc Structure,1
2950,Thermo-mechanical processing,1
2949,Eutectics,1
2948,Dendritic phases,1
2945,Orbital hybridization,1
3459,Electronic Density of States,1
2942,Wear Morphologies,1
3467,Edge Burrs,1
2939,Cavitation erosion resistances,1
2933,Interfacial Disorder,1
2932,L12 Order,1
2927,Heterogeneous Static Recrystallisation,1
3481,Disordered Structure,1
3514,Magnetization saturation,1
2926,Dynamic Recrystallisation,1
2925,Solid-solution Formation,1
3484,Bubble Growth Resistance,1
3485,Helium concentration,1
2923,Antibacterial Efficacy,1
3500,Cdl Value,1
3501,Hydroxide Layer,1
3502,Plastic,1
3503,Surface-to-Volume Ratio,1
2914,Plastic Hardening,1
3507,Potential,1
3508,Crystalline Structure Ratio,1
3450,Superior,1
3448,Homogeneous composition,1
3447,Elongated grains,1
3446,Equiaxed grains,1
2996,Increased GB energy,1
3387,Octahedral Twist,1
3391,Amorphous Character,1
2995,Increased stacking fault energy,1
3394,Strength Characteristics,1
2994,High flow stress,1
2993,Grain-size independence,1
3410,Specific Energy Density,1
2981,Oxide Spallation,1
2972,Orthorhombic Structure,1
2966,Energy Stability,1
2965,BCC Phase Transformation,1
2961,Carburizing Resistance,1
3424,Nano-twin Substructures,1
2958, Gcomp,1
2957, Hss,1
2956, Hamorph,1
2955, Hcomp,1
3431,Segregation behavior,1
3433,Densitiy,1
2954,Controlled Void Growth,1
3442,Core-shell Structure,1
3443,Cu-rich fcc Phase,1
3444,bcc + fcc Dual-phase Solid Solution,1
3445,Single bcc phase,1
3511,Scratch Ductility,1
3516,Micro-damages,1
3383,Twin boundary density,1
2853,Hot Wear Resistance,1
3587,High temperature resistances,1
2868,Recovery stress,1
2867,Shape memory properties,1
2866,Recovery Stress,1
2865,Glassy Behavior,1
2864,Strain Measurements,1
2862,Oxidation Film,1
2860,Repair Ability,1
3601,Dynamic Softening,1
2859,Passivation Film Stability,1
3606,Tensile performance,1
2858,Lifespan,1
3610,Apparent density,1
3522,Micro-scale Shear Bands,1
3611,Tapped density,1
3612,True density,1
3613,Hardening Capability,1
3614,Hydride stability,1
2852,Oxidative Wear Resistance,1
3616,Oxidization resistance,1
2851,Configuration Stability,1
3621,Fatigue Damage,1
3622,Grain Arrangements,1
3623,Grain Dimensions,1
3624,Surface Finish,1
3625,Sub-surface Porosity,1
3586,Biaxial Stress,1
3585,Intermixing Rate,1
2869,Recovery strain,1
3580,Portevin Le Chatelier Effect,1
3523,Texture Transition,1
2901,Endurance Strength,1
3528,Chemical Fluctuations,1
3534,EIS,1
3535,Deformation Substructure,1
2898,Energy absorption efficiency,1
2897,Energy absorption capacity,1
3540,Excess entropy,1
3541,Lattice vibrations,1
3545,Lattice Dynamic Effects,1
3553,Wear height loss,1
3557,Cr-rich Precipitates,1
3559,Dual phases,1
3560,hcp structure,1
3561,Homologous Temperature,1
3562,GBCD,1
2889,Electronic Conduction,1
2888,Ionic Conduction,1
2881,Anti-friction Effect,1
3568,Structural Multiplicity,1
2875,Selective Leaching Rates,1
2873,Selective Leaching,1
3577,Lattice Relaxation,1
3578,Single-phase Microstructure,1
3579,Lower Formation Enthalpy,1
3384,Recrystallized fraction,1
2997,Glass-like deformation,1
3628,Mean USFE,1
3238,Excellent Fire Resistance,1
3134,Heat Exchange Efficiency,1
3133,High Density,1
3131,Nano-scale Second Phase,1
3129,Compositional Mutation,1
3127,Narrow Band Gap,1
3227,Laser Absorption,1
3121,Dislocation Slip Mode,1
3233,High-temperature SME,1
3234,Oxygen Affinity,1
3235,Phase Tailoring,1
3236,High Corrosion Resistance,1
3237,Excellent Heat Resistance,1
3248,Thermal fatigue resistance,1
3277,Transformation Stresses,1
3249,High resistance,1
3250,Microstructural Control,1
3251,Chemical Composition Anisotropy,1
3116,Strain measurements,1
3113,C1 Selectivity,1
3257,Dehydrogenation Temperature,1
3112,Mechanical Energy Absorption,1
3259,Thermal-mechanical Stability,1
3260,Lubricating Capacity,1
3261,Thermo Magnetic Data,1
3111,Lubrication Performance,1
3269,Scratch Tests,1
3139,Magnetothermal,1
3140,Specific Loss Power,1
3149,CE performance,1
3205,Antisite defects,1
3166,Mechanical Loading,1
3170,Stress Corrosion Cracking,1
3165,Atomic volume,1
3172,Oxide Layer Formation,1
3173,Second Order,1
3174,Sliding coefficient of friction,1
3175,Correlated Diffusion,1
3176,Correlation Factor,1
3177,Erosion wear,1
3164,Structural phase transitions,1
3183,Photoluminescence,1
3184,Eutectic Structures,1
3188,Diffusion Kinetics,1
3162,Positron lifetime,1
3161,Vacancy distribution,1
3191,Sigma Precipitate,1
3192,NiAl Precipitate,1
3195,Dynamic Friction Coefficient,1
3196,Cross-slipping,1
3158,Radiation performance,1
3200,Fragility Indexes,1
3201,Migration energy,1
3202,Antisite defects resistance,1
3157,Swelling tolerance,1
3204,Migration barrier,1
3271,Negative Magnetoresistance,1
3097,Body-centered cubic structure,1
3378,Phase Constituent,1
3037,Worn volume losses,1
3330,Microstructure Softening,1
3331,Lightweight-to-strength Ratio,1
3332,Dynamic Yielding Strength,1
3333,Temperature Hysteresis,1
3335,Saturation Magnetic Induction,1
3051,Dynamic Restoration,1
3340,Interdiffusion behavior,1
3048,Avrami Exponent,1
3047,Logarithmic Decrement,1
3045,Conduction,1
3041,Magneto-Thermal Effects,1
3040,Hydrogen Uptake Kinetics,1
3035,Double-phase,1
3280,High corrosion resistance,1
3034,Self-Healing Behavior,1
3353,Modifications,1
3354,Anisotropic Mechanical Properties,1
3027,High-Temperature Compressive Properties,1
3360,Uniaxial Tensile Strength,1
3016,Standard Entropy,1
3014,Hydrogen Isotope Retention,1
3013,Hydrogen Isotope Permeation,1
3011, T ad,1
3374,Angle of Repose,1
3375,Hausner Ratio,1
3002,Superconducting Parameters,1
3329,Precipitate Formation,1
3327,Hydrogen isotope storage,1
3326,Surface Formation Energy,1
3325,Tetrahedral Interstitial Formation Energy,1
3281,High oxidation resistance,1
3282,Abrasive Wear-Resistance,1
3284,Delta Parameter,1
3090,Inductance,1
3084,BCC/B2 Coherent Microstructure,1
3295,Temperature stability,1
3079,Hardening rate,1
3078,Hardness increment,1
3300,Photothermal Therapy,1
3302,Mechanical Resistance,1
3070,Helium Behaviour,1
3305,Grain Boundary Engineering,1
3306,Passive Film Resistance,1
3063,Fatigue-Resistant,1
3062,Cyclic-Deformation,1
3061,Secondary Cyclic Hardening,1
3310,Oxygen,1
3311,Hf-oxides,1
3312,RCCA,1
3315,Work-hardening Behavior,1
3057,Compressive Deformability,1
3056,Micro-Texture,1
3320,Metal-Nitrogen Bonds,1
3054,Random Micro-Texture,1
3324,Refractory Characteristic,1
3626,Slip Resistances,1
3629,Dislocation Energy,1
2643,Shear Localization Resistance,1
2716,Defect Energetics,1
3866,HCP martensitic transformation,1
3870,Compressive stress-strain curves,1
3871,SROs,1
2733,Friction stress strengthening,1
2732,Interfacial strengthening,1
2730,Fracture constants,1
3879,Vacancy Migration Energies,1
2729,Effective plastic strain,1
3884,Elastoplastic Deformation,1
2727,Flow behavior,1
2726,Energy Gaps,1
3888,High Transparency,1
3898,Onset Overpotential,1
2697,ZT max,1
3899,Thermal Parameters,1
2711,High Transmission,1
3902,Defect Generation,1
3905,Anomalies,1
2705,Sample-size,1
3910,Lattice frictional stress,1
3911,Taylor hardening,1
3912,Elastic-Plastic Behavior,1
3913,Damping Spreading,1
3914,Twin Boundary Effect,1
2704,Grain-size,1
2703,Grain Size Sensitivity,1
3865,High-Diffusivity Paths,1
3864,Thermodynamically Stable,1
2748,Strengthening Effects,1
2750,dpa,1
3810,Electrochemical Storage Capacity,1
2769,Low-Angle Grain Boundaries,1
3813,Phase Stabilization,1
2766,HRD,1
3816,Magnetic-Field-Induced Entropy Change,1
2764,Electrochemical Cycling Stability,1
3819,Aggregation Tendency,1
3821,Shear Texture,1
3825,Macrosegregation,1
3826,Martensite Transformation,1
3827,Failure strain,1
2756,Hydroxyapatite Deposition,1
3830,Grain Boundary Activity,1
3831,HCP Martensitic Transformation,1
3832,FeAl-rich,1
3834,Entropy Contributions,1
3837,Uniaxial compression tests,1
3838,Nano-indentation behavior,1
3839,Formed phase,1
2755,Rutile Phase,1
2754,Anatase Phase,1
2753,Tube Length,1
3847,High-temperature Wear-resistance,1
3848,Anti-oxidation Lubrication,1
2751,Dpa,1
3919,Anisotropic Lattice Compression,1
3922,Tap Density,1
3807,D,1
2653,Spinel Phase,1
3981,Endurance Time,1
3982,Initial Permeability,1
3984,Stress-Corrosion Cracking Resistance,1
3985,Magnetocaloric Change,1
3987,Sigma Phase Stability,1
2662,Phonons,1
2661,Magnetic Shape Memory,1
3996,Irradiation resistances,1
2658,Phonon Partial DOS,1
2657,Chemical Order-Disorder Transformations,1
2655,Double-Layer Capacitance,1
4005,Hard Phase,1
2652,Fractography,1
3923,Repose Angle,1
4013,He Cavities,1
2650,Abrasion,1
4017,Excellent Mechanical Properties,1
4019,Crack Discontinuing,1
4020,Crack Arrest,1
4021,Crack Deflection,1
4022,Acceptable Strength,1
4023,Local Stacking Fault Energies,1
2648,   ,1
4025,Voigt Average Shear Modulus,1
2647,    phase,1
2646,Single-phase FCC structure,1
3980,Explosion Resistance,1
3979,Recycling Use Ability,1
3978,Cyclic Impact Load,1
2664,Electromagnetic shielding,1
3932,Melt Pool Geometry,1
3934,Inverse Hall-Petch Relation,1
3936,Supersaturation,1
3943,Antifouling Abilities,1
3946,Anti-Glass-Sticking Properties,1
3947,Adhesive Properties,1
3948,Anti-corrosion properties,1
3949,Corrosion Protection Efficiency,1
3950,Coating thickness,1
3951,Surface structure,1
3953,Short-Range Orderings,1
3954,Tensile Shear Properties,1
3955,Shear Load,1
3956,Micro-deformation,1
3957,Micro-Deformation,1
3958,Failure Mechanisms,1
3959,Magnetoresistivity,1
2686,Stable ESF Structure,1
2684,Stable ISF Structure,1
3966,Dislocation hardening,1
2681,Corrosion currents,1
2675,Structural Phase,1
2673,Oxidation Speed,1
2671,Thermal Behaviour,1
2666,Hysteresis curves,1
3808,I0,1
2775,Macromechanical Properties,1
3630,Screw-Edge Ratio,1
2823,Isothermal bulk modulus,1
3671,Site Occupancy,1
3677,Dislocation Climb,1
3679,Elemental Redistribution,1
2830,Nano-elastic Modulus,1
3682,Exchange Bias Effect,1
2829,Thermal Fatigue Resistance,1
2828,Bondability,1
3687,Tritium Breeding Ratio,1
3688,Barrier Coating,1
2827,Crystal Reorientation,1
3691,Absorption Performance,1
2825,High Temperature Applications,1
2822,Volumetric Thermal Expansion Coefficient,1
3718,Interstitial dislocation loops,1
2818,Type-II,1
3698,VED,1
3699,Electrochemical Corrosion Potential,1
3702,Microwave-absorbing Properties,1
3703,Linear Volume Expansion,1
2813,Destabilization,1
3707,Crystallographic Rotation,1
2808,9R Structure,1
3710,Tetragonal Shear Modulus,1
2807,Shear Strengths,1
2806,Exothermicity,1
3716,Ordered L12 nanoparticles,1
3670,Dynamic strain aging,1
3669,Compositional inhomogeneity,1
3668,Serrated flow,1
3666,Defect Buildup,1
2850,Tribological Behaviors,1
3632,Biaxial Residual Stresses,1
3633,Shock Wave Propagation,1
2849,Non-crystalline Phase,1
3635,Cavitation Process,1
2846,Strengthening Behavior,1
3640,Passive Oxide Layer,1
3641,Strain sensitivity,1
3642,Dynamic shear failure resistance,1
3643,Shear failure strain,1
3644,Adiabatic shear banding,1
2845,Critical Yield Stress,1
3646,Phonon-dispersion curves,1
3650,Phonon dispersion,1
3651,Hall Petch Intercept,1
3652,Hall Petch Slope,1
2843,Dendrite grains,1
3655,F(000),1
3656,Dopants,1
3657,Ground State Energy,1
3658,Magnetostructural Behaviour,1
3659,Quick Hardening Response,1
3660,Absence of Overaging,1
2840,High-temperature Yield Strength,1
3664,Local strain distributions,1
3717,Stacking-fault tetrahedra,1
3719,Loop size,1
2777,Eutectic Carbides,1
3782,Defect Mobility,1
2787,Energy releasing,1
2786,Oxidation reaction,1
2785,Alloy crushing,1
3766,Worn Mechanism,1
3768,Ideal Strength,1
2784,Adiabatic temperature rise,1
3773,Creep Stress Index,1
2783,Energy-releasing characteristics,1
3778,Tribocorrosion resistance,1
3779,Plastic Zone Size,1
3780,Low Residual Stress,1
3781,Slow Oxidation Rate,1
3783,Irradiation-resistance,1
3720,Ordered L12 Nanoparticles,1
3784,Strain rate hardening,1
3785,Precipitate-strengthening effect,1
2782,Coefficient of Thermal Expansion (CTE),1
2781,Phase changes,1
3790,Wear Quantity,1
2780,Dendritic Microsegregation,1
2779,BCC Single-Phase,1
3797,IMs,1
2778,Oxide Scale Formation,1
3799,Moderate Hardness,1
3800,Soft ferromagnetic,1
3801,High saturation magnetization,1
2789,Joint Efficiency,1
3761,Nanotexturing,1
2790,Adhesive Critical Load,1
3759,Indirect Band Gap,1
3721,Stacking-Fault Tetrahedra,1
3722,Interstitial Dislocation Loops,1
3723,Loop Size,1
2805,Hydrogen Intake Capacity,1
2803,Transmission electron microscopy,1
3727,Zero-T Strength,1
3728,Zero-Stress Barrier,1
3729,Strength at Lower Temperatures,1
3730,Strength at Higher Temperatures,1
2802,Scanning electron microscopy,1
3739,Volumetric Expansion,1
3740,Anharmonic Effects,1
3742,Mixing behavior,1
2798,Gahnite,1
3745,Plastic lifting,1
2797,Two-phase Solid Solution,1
3748,TWIP effect,1
3749,High-temperature Structural Components,1
3750,Phase Formability,1
2796,Mean Crystallite Size,1
2794,L12 Nano-particles,1
2793,Sample Entropy,1
3756,SCC Susceptibility,1
2792,Particle Diameter,1
3758,n-type Semiconductor,1
4909,Polycrystalline moduli,1
4910,Satellite content,1
4911,Dendritic grain structure,1
6039,Energy Transport,1
6023,Micromorphology,1
6024,Hardening Degree,1
1437,Breakdown Field Strength,1
6027,Valence band top,1
6028,Conduction band bottom,1
6029,Valence Band Top,1
6030,Conduction Band Bottom,1
1434,Application Temperature Limit,1
6032,Heusler,1
6034,Radiation Tolerant,1
6036,Low Phonon Thermal Conductivity,1
6038,Scattering Mechanisms,1
6040,Cascade-core Temperature,1
6065,Deviatoric Strain,1
6041,Martensite Phase Transition Temperature,1
6045,Void Nucleation,1
6047,Cationic Outward Growth,1
6048,Cationic Outward Oxide Growth,1
6049,Thermodynamic Instability,1
6050,Liquid Properties,1
6051,Vitrification Diameter,1
6053,HCP-martensitic,1
6054,Elongations,1
6055,Work-Hardening Behavior,1
6058,Electron Backscattered Diffraction,1
1433,Grain Boundary Resistance,1
1439,n-type Semiconducting Properties,1
6021,Compliance,1
6020,Strain hardening capacity,1
6015,Cr-resistance,1
1471,Minimum Density,1
1461,Cavity size,1
5976,Microporosity,1
1452,Anti-Oxidation Properties,1
5981,Irregular Shape,1
1449,Nano-scale Ultrafine Grains,1
5984,Phase-composition features,1
5987,Local Strengthening,1
5990,TYS,1
1448,Superhard Materials,1
1447,Work hardening rate,1
1442,Photocatalysis,1
5999,Atomic mass,1
6000,Ionic radius,1
1441,Reduced Charge Recombination,1
1440,Light Trapping Ability,1
6003,Single-phase BCC,1
6004,PSFE,1
6006,Elastic Energy Storage,1
6007,Epitaxial Relations,1
6008,Defect Tolerance,1
6009,Effective Formation Enthalpies,1
6010,Effective Formation Entropies,1
6011,Effective Formation Enthalpy,1
6012,Effective Formation Entropy,1
6062,Repassivation Behaviour,1
6066,Plastic Flow Resistance,1
1472,Maximum Melting Temperature,1
6165,Hardness Modulus,1
6146,Fe3+,1
6147,Fe2+,1
6148,Ni2+,1
6149,Ni3+,1
6156,High entropy material,1
6157,Electrocatalytical performance,1
6159,Dislocation Entanglements,1
6160,Wearing Resistance,1
6161,Maximum Compressive Strain,1
6162,Oxidation Wearing,1
6163,Adhesive Wearing,1
6164,Fatigue Wearing,1
6167,Dislocation Wall,1
6067,Adsorption energies,1
6170,Active Centers,1
6171,Surface Active Areas,1
6172,Sy,1
1383,Face-centered Cubic Solid Solution,1
1382,Cryogenic Tensile Strength,1
6176,Formation,1
6177,Elevated Temperature Strength,1
6178,Hot tensile strength,1
6179,Radiation-Induced Hardening,1
1368,Selective Leaching Property,1
6183,Wear Scar,1
1367,Dual-Phase Structure,1
6135,Wear Volume Loss,1
6128,Stable,1
6127,Homogeneous Elemental Distribution,1
6125,Hot Crack Sensitivity,1
6070,Uniform Dynamic Shear Strain,1
6071,Activity Energy,1
6074,Plastic Toughness,1
6075,Transformation-Toughening,1
6076,Damage Nucleation,1
1428,BCC Solid Solution Structure,1
1423,BCC SPSS,1
1419,Phase Structural Stability,1
6086,Structural enthalpy,1
6090,Growth Velocity,1
1418,Magnetic Domains,1
1417,Surface Microstructures,1
1412,Dielectric function,1
6105,Activation energies,1
6106,Hydrogen overvoltage,1
6107,Pro-eutectoid phases,1
6110,Cellular Structure,1
1407,Low Saturation Magnetostriction,1
6114,High Relative Density,1
6115,Excellent Forming Quality,1
6117,Bct matrix,1
1406,Low Saturation Magnetostriction Coefficients,1
6120,bct matrix,1
1404,Delayed,1
1402,Suppression,1
5958,Hypo-eutectic,1
5955,Erosion Properties,1
6187,Isotope Exchange,1
1599,Longitudinal sound velocity,1
5794,Electronic Band Gap,1
5795,Thermal Transport Properties,1
5798,Interdiffusion Coefficients,1
5803,Microstructure Compatibility,1
1623,i_corr,1
1620,i corr,1
1618,Hold time,1
1617,Heating rate,1
3168,Slip Activities,1
1603,Phonon Heat Transport,1
1601,Bulk sound velocity,1
1600,Transverse sound velocity,1
1598,Absorbed Energy,1
5855,Kinetic Current Density,1
1597,Antiferromagnetism,1
1596,Superparamagnetism,1
1595,Zener Force,1
1594,Drag Force,1
1591,Hopping Time,1
1589,Hopping Distance,1
1579, 2,1
1575,Localized Strain,1
5837,Structural Ordering,1
5840,Charge Transfer Capability,1
1573,Greenhouse Gas Emission,1
5847,Specific Kinetic Current Density,1
5793,Electronic Transport Properties,1
5792,Deformation rates,1
5791,Three-point bending test,1
1625,Cyclic Healing,1
1660,HDI Stress,1
5745,Internal Resistance,1
5746,C15 Laves Phase,1
5747,BCC Phase Separation,1
1656,Logarithmic Strain,1
1652,Electronegativity mismatch,1
1638,Nucleation path,1
5756,Phonon Spectrum,1
5757,High Bulk Moduli,1
5758,High Shear Moduli,1
5760,Impact Ductility,1
5761,Entropic Stabilization,1
5762,Crystallographic data,1
5763,Complex permeability,1
5768,LCF Life,1
1635,Flow Instability,1
1633,Solute Drag Creep,1
1629,Shock Speed,1
5780,Protective  -Al2O3,1
5781,Resistance to Anneal Softening,1
5783,Strengthen,1
5784,Dislocation Slips,1
5785,Grain Rotation,1
5786,GB Migration,1
5789,Elastic Limit Strain,1
5850,ECSA Retention,1
5856,Spongy Structure,1
5953,Low Wear Rate,1
1510,Creep Resistant Property,1
5903,Thermal working range,1
5904,Surface Composition,1
5905,Low Manufacturing Costs,1
1525,ORR Characteristics,1
5908,Radiation-Induced Damage,1
5910,Macro morphology,1
5912,Grain boundary,1
1516,SFE reduction,1
5914,Frictional Forces,1
5916,Twinning-Induced Plasticity,1
5918,D-bcc,1
5919,D-ico,1
1504,Oxygen Permeability,1
5859,Complex Oxide Layer,1
1503,Structure Density,1
1500,Chemical Order,1
1498,Refractive Indices,1
1483,Auxetic,1
1481,Deformation-Induced Twinning,1
5942,E1/2 Decay,1
5945,EO,1
5947,Activation Effect,1
5948,Dual FCC,1
1476,Crystalline Orientation,1
1475,Interlocking Grain Boundaries,1
5952,Inertness,1
5902,Metastable character,1
5901,Solubility limit,1
5900,Austenite Stabilization,1
5898,Deformation Regions,1
5860,Mass Gain,1
5861,Limited Plasticity,1
5863,Pseudo-elasticity,1
5864,Elastic Strain Recovery,1
5865,Nanomechanical properties,1
5868,Resistance to Crack Extension,1
5869,Faulted Dislocation Loops,1
5870,Anti-corrosion Ability,1
5871,Twin Activation,1
1548,Attractive Interactions,1
5875,Room-temperature Tensile Strength,1
1547,Weak Interactions,1
5879,Magnetic Frustration,1
1541,Dispersion behavior,1
5881,High-temperature applications,1
5883,Anharmonic Behaviour,1
5885,LSPR,1
5887,Absorption Wavelength,1
5888,Crack-Growth-Retardation,1
5889,Fatigue-crack-growth,1
5890,Stress-intensity-factor,1
1533,Plastic Storage Energy,1
5893,Tribocorrosion Performance,1
1532,Electrochemical Corrosion Behavior,1
1531,Micromechanical Properties,1
